Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788816142,9,,Aggregated,5.300000,3.200000,7,9,10,12,19,41,54,310,490,490,490,328,153,7,14.584083232543113,1.458899991121143,485.3171999566257,1252.3292682926829
1788816143,9,,Aggregated,5.300000,3.300000,7,9,10,12,19,41,54,310,490,490,490,334,156,7,14.521206288199737,1.458899991121143,485.3171999566257,1270.8383233532934
1788816144,9,,Aggregated,5.700000,3.600000,7,9,10,12,19,41,54,310,490,490,490,339,159,7,14.393445428366055,1.458899991121143,485.3171999566257,1257.1504424778761
1788816145,9,,Aggregated,5.400000,3.300000,7,9,10,12,19,41,54,310,490,490,490,343,161,7,14.40867959282771,1.458899991121143,485.3171999566257,1280.725947521866
1788816146,9,,Aggregated,5.600000,3.500000,7,9,10,12,20,41,54,310,490,490,490,349,165,7,14.334000860718492,1.458899991121143,485.3171999566257,1295.3696275071634
1788816147,9,,Aggregated,5.700000,3.500000,7,9,10,12,19,41,47,310,490,490,490,354,169,7,14.191068645262838,1.458899991121143,485.3171999566257,1278.5790960451977
1788816148,9,,Aggregated,5.700000,3.700000,7,9,10,12,19,41,47,310,490,490,490,361,173,7,14.121812189751179,1.458899991121143,485.3171999566257,1294.8227146814404
1788816149,9,,Aggregated,5.800000,3.600000,7,9,10,12,20,41,47,310,490,490,490,366,174,7,14.113114482139192,1.458899991121143,485.3171999566257,1315.3387978142077
1788816150,9,,Aggregated,5.500000,3.500000,7,9,10,12,20,41,47,310,490,490,490,369,175,7,14.056950678852031,1.458899991121143,485.3171999566257,1309.8265582655827
1788816151,9,,Aggregated,5.600000,3.500000,7,9,10,12,19,41,47,310,490,490,490,374,176,7,13.968329947786705,1.458899991121143,485.3171999566257,1304.9919786096257
1788816152,9,,Aggregated,5.300000,3.200000,7,9,10,12,18,41,47,310,490,490,490,382,179,7,13.834097383803497,1.458899991121143,485.3171999566257,1294.2853403141362
1788816153,9,,Aggregated,5.400000,3.000000,7,9,10,12,18,41,47,310,490,490,490,385,181,7,13.759037144572849,1.458899991121143,485.3171999566257,1288.3428571428572
1788816154,9,,Aggregated,5.200000,2.800000,7,9,10,12,18,41,47,310,490,490,490,392,183,7,13.641527807874587,1.458899991121143,485.3171999566257,1282.75
1788816155,9,,Aggregated,5.300000,2.700000,7,9,10,12,18,41,47,310,490,490,490,395,184,7,13.599489115714979,1.458899991121143,485.3171999566257,1282.6050632911392
1788816156,9,,Aggregated,5.500000,2.500000,7,9,10,11,18,41,46,310,490,490,490,403,188,7,13.435726800746291,1.458899991121143,485.3171999566257,1267.955334987593
1788816157,9,,Aggregated,5.200000,2.300000,7,9,10,11,18,41,46,310,490,490,490,408,189,7,13.370454658476827,1.458899991121143,485.3171999566257,1264.5686274509803
1788816158,9,,Aggregated,5.400000,2.200000,7,9,10,11,18,41,46,310,490,490,490,413,191,7,13.362538742468654,1.458899991121143,485.3171999566257,1280.903147699758
1788816159,9,,Aggregated,5.400000,2.100000,7,9,10,11,18,41,46,310,490,490,490,419,194,7,13.25981837860142,1.458899991121143,485.3171999566257,1269.8305489260142
1788816160,9,,Aggregated,5.500000,1.900000,7,9,10,11,16,41,46,310,490,490,490,425,196,7,13.195053648669273,1.458899991121143,485.3171999566257,1265.3223529411764
1788816161,9,,Aggregated,5.500000,1.900000,7,9,10,11,15,41,46,310,490,490,490,431,199,7,13.08789884124876,1.458899991121143,485.3171999566257,1254.784222737819
1788816162,9,,Aggregated,5.600000,2.100000,7,9,10,11,16,41,46,310,490,490,490,438,201,7,13.068768722866343,1.458899991121143,485.3171999566257,1268.541095890411
1788816163,9,,Aggregated,5.600000,2.200000,7,9,10,11,15,41,46,310,490,490,490,443,203,7,12.994656886019309,1.458899991121143,485.3171999566257,1264.7313769751693
1788816164,9,,Aggregated,5.600000,2.100000,7,9,10,11,16,41,46,310,490,490,490,448,205,7,13.006036831289489,1.458899991121143,485.3171999566257,1281.1830357142858
1788816165,9,,Aggregated,5.500000,2.100000,7,9,10,11,15,41,45,310,490,490,490,454,207,7,12.90476497899667,1.458899991121143,485.3171999566257,1269.920704845815
1788816166,9,,Aggregated,5.400000,2.200000,7,9,10,11,15,41,45,310,490,490,490,458,210,7,12.83832991370671,1.458899991121143,485.3171999566257,1265.1266375545852
1788816167,9,,Aggregated,5.600000,2.300000,7,9,10,11,15,41,45,310,490,490,490,465,212,7,12.8176643023698,1.458899991121143,485.3171999566257,1280.636559139785
1788816168,9,,Aggregated,5.600000,2.200000,7,9,10,11,16,41,45,310,490,490,490,469,213,7,12.846620470312223,1.458899991121143,485.3171999566257,1298.5159914712153
1788816169,9,,Aggregated,5.600000,2.300000,7,9,10,11,15,41,45,310,490,490,490,474,215,7,12.775159073022945,1.458899991121143,485.3171999566257,1290.3143459915611
1788816170,9,,Aggregated,5.500000,2.200000,7,9,10,11,15,41,45,310,490,490,490,481,217,7,12.694996674670964,1.458899991121143,485.3171999566257,1285.7276507276508
1788816171,9,,Aggregated,5.300000,2.100000,7,9,10,11,15,41,45,310,490,490,490,485,220,7,12.62239360937023,1.458899991121143,485.3171999566257,1277.6144329896906
1788816172,9,,Aggregated,5.300000,2.100000,7,9,10,11,15,41,45,310,490,490,490,491,221,7,12.564412424745809,1.458899991121143,485.3171999566257,1271.274949083503
1788816173,9,,Aggregated,5.400000,2.000000,7,9,10,11,15,41,45,310,490,490,490,496,223,7,12.570139517324165,1.458899991121143,485.3171999566257,1286.0403225806451
1788816174,9,,Aggregated,5.500000,2.100000,7,9,10,11,15,41,45,74,490,490,490,501,225,7,12.509651098817683,1.458899991121143,485.3171999566257,1279.8622754491018
1788816175,9,,Aggregated,5.400000,2.100000,7,9,10,11,15,41,45,74,490,490,490,507,228,7,12.496619330327848,1.458899991121143,485.3171999566257,1292.4930966469428
1788816176,9,,Aggregated,5.300000,1.900000,7,9,10,11,15,41,45,74,490,490,490,510,228,7,12.533957451837612,1.458899991121143,485.3171999566257,1311.464705882353
1788816177,9,,Aggregated,5.400000,2.000000,7,8,10,11,15,41,45,74,490,490,490,515,229,7,12.47577805917493,1.458899991121143,485.3171999566257,1305.0038834951456
1788816178,9,,Aggregated,5.300000,2.000000,7,8,10,11,15,41,45,74,490,490,490,518,230,7,12.444909267364839,1.458899991121143,485.3171999566257,1303.1660231660233
1788816179,9,,Aggregated,4.900000,1.800000,7,9,10,11,15,41,45,74,490,490,490,522,230,7,12.416005173499135,1.458899991121143,485.3171999566257,1303.6168582375478
